asset_nm,similar_assets
유리미인살  27회.,"['유리미인살  27회', '유리미인살 ', '유리미인살  07회.', '유리미인살  14회', '유리미인살  24회', '유리미인살  24회.', '유리미인살  15회.', '유리미인살  15회', '유리미인살  29회', '유리미인살  22회']"
유리미인살  28회.,"['유리미인살  19회', '유리미인살  26회.', '유리미인살  23회.', '유리미인살  11회', '유리미인살  11회.', '유리미인살  20회', '역도요정 김복주 16회', '유리미인살  02회.', '유리미인살  22회']"
유리미인살  29회.,"['유리미인살  12회.', '유리미인살  03회.', '유리미인살  03회', '유리미인살  25회.', '유리미인살  11회.', '유리미인살  11회', 'VIVANT 2회', '블리치 2기', '감옥학원 9회', '유리미인살  18회.']"
유리미인살  30회.,"['유리미인살  23회', '유리미인살  22회', '유리미인살 ', '유리미인살  07회.', '유리미인살  20회.', '유리미인살  25회', '용주전기 무간도 33회.', '유리미인살  21회', '원피스-황금의대해적우난']"
인어전설 2: 용의 부활,"['금의위: 5개의 옥새', '황금정원 30회', '99억의 여자 16회', '동백꽃 필 무렵 20회', '옹정황제의 여인 37회', '옹정황제의 여인 75회.', '신화-고대 왕국의 비밀', '장야 61회', '티티체리 02회', '티티체리 2회']"
장야 2  01회.,"['장야 2  1회', '장야 2  03회.', '장야 2  04회.', '장야 2  05회.', '장야 2  5회', '장야 2  18회.', '장야 2  18회', '장야 2  09회.', '장야 2  02회.', '장야 2  13회']"
장야 2  02회.,"['장야 2  17회.', '장야 2  17회', '장야 2  18회', '장야 2  18회.', 'TV소설 은희 124회', '장야 2  10회.', '장야 2  10회', '장야 2  13회', '장야 2  13회.', '장야 2  01회.']"
장야 2  03회.,"['장야 2  04회.', '장야 2  01회.', '장야 2  1회', '군구령 37회', '진정령 11회', '장야 2  5회', '장야 2  05회.', '장야 2  17회', '장야 2  17회.', '동백꽃 필 무렵 20회']"
장야 2  04회.,"['장야 2  03회.', '장야 2  5회', '장야 2  05회.', '장야 2  01회.', '장야 2  1회', '장야 2  12회.', '진정령 11회', '황금정원 30회', '동백꽃 필 무렵 20회', '99억의 여자 16회']"
장야 2  05회.,"['장야 2  5회', '장야 2  04회.', '장야 2  01회.', '장야 2  1회', '장야 2  07회.', '장야 2  12회.', '장야 2  18회', '장야 2  18회.', '장야 2  11회.', '장야 2  10회.']"
장야 2  06회.,"['장야 2  08회.', '장야 2  17회.', '장야 2  17회', '장야 2  9회', '장야 2  11회.', '장야 2  13회.', '장야 2  13회', '장야 2  10회.', '장야 2  10회', '장야 2  7회']"
장야 2  07회.,"['장야 2  5회', '장야 2  05회.', '장야 2  08회.', '장야 61회', '장야 2  11회.', '어둠의자식들', '장야 2  10회', '장야 2  10회.', '또봇1기-변신자동차 또봇 4회', '장야 2  15회']"
장야 2  08회.,"['장야 2  09회.', '장야 2  06회.', '장야 2  12회', '장야 2  12회.', '장야 2  18회', '장야 2  18회.', '장야 2  17회.', '장야 2  17회', '장야 2  15회.', '장야 2  15회']"
장야 2  09회.,"['장야 2  08회.', '장야 2  12회.', '장야 2  18회.', '장야 2  18회', '장야 2  11회.', '장야 2  01회.', '장야 2  1회', '장야 2  15회.', '장야 2  15회', '장야 2  14회']"
장야 2  10회.,"['장야 61회', '장야 2  17회', '장야 2  17회.', '장야 2  7회', '장야 2  15회.', '장야 2  15회', '장야 2  02회.', '심야괴담회 73회', '장야 2  06회.']"
장야 2  11회.,"['장야 2  18회', '장야 2  18회.', '장야 2  15회', '장야 2  15회.', '장야 2  06회.', '장야 2  09회.', '장야 2  5회', '장야 2  05회.', '장야 2  12회.', '장야 2  08회.']"
장야 2  12회.,"['장야 2  09회.', '장야 2  08회.', '장야 2  18회.', '장야 2  18회', '장야 2  15회', '장야 2  15회.', '장야 2  05회.', '장야 2  5회', '장야 2  11회.', '장야 2  04회.']"
장야 2  13회.,"['장야 2  06회.', '장야 2  02회.', '장야 2  1회', '장야 2  01회.', '장야 2  9회', '장야 2  12회.', '연희공략: 건륭황제의여인 01회.', '금이야 옥이야 110회', '장야 2  09회.']"
장야 2  14회.,"['장야 2  4회', '장야 2  18회', '장야 2  18회.', '절대쌍교 : 소어아와 화무결 20회', '장야 2  11회.', '수가적성진 24회', '진혼법사', '장야 2  17회', '장야 2  17회.']"
장야 2  15회.,"['장야 2  15회', '장야 2  9회', '장야 2  18회.', '장야 2  18회', '장야 2  11회.', '장야 2  10회.', '장야 2  10회', '장야 2  12회.', '장야 2  08회.', '이스케이프: 더블 타겟']"
장야 2  16회.,"['장야 2  16회', '핑크퐁 공주이야기 01회', '나의 엔젤', '금이야 옥이야 038회', '금이야 옥이야 38회', '장야 2  19회.', '장야 2  19회', '내 눈에 콩깍지 21회', '오자룡이 간다 13회', '오자룡이 간다 013회']"
장야 2  17회.,"['장야 2  17회', '장야 2  10회', '장야 2  10회.', '장야 2  02회.', '장야 2  06회.', '장야 2  08회.', '자몽TV 네버엔딩 시즌3', '개는 훌륭하다 191회', '장야 2  3회', '장야 2  03회.']"
장야 2  18회.,"['장야 2  11회.', '장야 2  09회.', '장야 2  15회', '장야 2  15회.', '장야 2  19회', '장야 2  19회.', '장야 2  02회.', '장야 2  08회.', '장야 2  12회.']"
장야 2  19회.,"['장야 2  18회.', '장야 2  18회', '장야 2  17회', '장야 2  17회.', '장야 2  02회.', '경쌍성 43회', '장야 2  1회', '장야 2  01회.', '장야 2  16회']"
장야 2  20회.,"['장야 2  6회', ' 출동! 리나왕국 대작전 1회', '백설공주-또다른이야기', '문에이지 데이드림', '옹정황제의 여인 38회', '옹정황제의 여인 76회.', '소녀대인 17회', '소녀대인 17회.', '미자무강 10회']"
장야 2  21회.,"['장야 2  21회', '장야 2  6회', '일요 특선 다큐멘터리 316회', '일요 특선 다큐멘터리 315회', 'TV소설 은희 110회', '투캅스2', '금이야 옥이야 007회', '금이야 옥이야 7회', '안녕, 프란체스카 시즌2 17회', '가슴이 뛴다 10회']"
장야 2  22회.,"['달이 뜨는 강 20회', '장야 2  11회.', '장야 2  18회.', '장야 2  18회', '장야 2  06회.', '금쪽같은 내새끼 163회', '아이즈 13회', '정글의법칙in펜트아일랜드:욕망의섬 2회', '하늘이시여']"
저소자진수 : 이 녀석 참 잘생겼네 01회.,"['저소자진수 : 이 녀석 참 잘생겼네 1회', '용주전기 무간도 11회', '용주전기 무간도 11회.', '창란결 03회.', '경경아심 : 두근두근 내 마음을 들어봐 10회', '경경아심 : 두근두근 내 마음을 들어봐 10회.', '유리미인살  16회.', '유리미인살  16회', '웅남이', '안녕, 프란체스카 시즌2 17회']"
저소자진수 : 이 녀석 참 잘생겼네 07회.,"['저소자진수 : 이 녀석 참 잘생겼네 7회', '휴상행자본왕소저 : 여왕 암살은 어림없다 5회', '아따맘마 극장판', '성룡의 아시수', '아름다운 그대에게 2 11회', '경경아심 : 두근두근 내 마음을 들어봐 24회.', '경경아심 : 두근두근 내 마음을 들어봐 24회', '금이야 옥이야 031회', '금이야 옥이야 31회', '그것이알고싶다 1355회']"
진격적황후1 06회.,"['진격적황후1 5회', '진격적황후1 05회.', '진격적황후1 03회.', '진격적황후1 3회', '하나뿐인 내편 51회', '택천기 30회', '택천기 30회.', '진격적황후1 04회.', '진격적황후1 4회']"
창란결 01회.,"['창란결 04회.', '창란결 12회', '창란결 08회.', '아만다', '스토브리그 9회', '스토브리그 09회', '창란결 14회.', '창란결 13회', '창란결 13회.', '창란결 12회.']"
창란결 02회.,"['창란결 07회.', '창란결 04회.', '창란결 18회.', '창란결 18회', '창란결 08회.', '창란결 09회.', '창란결 15회', '창란결 4회', '경경일상 39회.', '창란결 06회.']"
창란결 03회.,"['창란결 12회', '창란결 4회', '창란결 08회.', '창란결 05회.', '창란결 07회.', '창란결 13회.', '창란결 14회', '란이TV 시즌2 26회', '창란결 18회.', '창란결 18회']"
창란결 04회.,"['창란결 02회.', '명수사관 유용전 45회', '창란결 17회.', '협객: 도원매영', '창란결 01회.', '창란결 03회.', '프라이스리스~있을리 없잖아, 그런거!~ 10회', '창란결 4회', '창란결 09회.', '창란결 06회.']"
창란결 05회.,"['창란결 08회.', '창란결 13회', '창란결 07회.', '창란결 06회.', '창란결 18회.', '창란결 18회', '창란결 14회', '창란결 15회', '창란결 03회.', '창란결 11회.']"
창란결 06회.,"['창란결 07회.', '창란결 08회.', '창란결 05회.', '창란결 13회', '창란결 9회', '창란결 4회', '아적자위여해1 : 나의 고슴도치 그녀1 17회', '창란결 10회', '창란결 10회.', '창란결 02회.']"
창란결 07회.,"['창란결 06회.', '창란결 4회', '창란결 05회.', '창란결 08회.', '창란결 15회', '창란결 09회.', '창란결 02회.', '창란결 03회.', '창란결 13회.', '창란결 13회']"
창란결 08회.,"['창란결 06회.', '창란결 13회', '창란결 05회.', '창란결 13회.', '창란결 07회.', '창란결 18회.', '창란결 18회', '창란결 14회', '창란결 03회.', '창란결 10회']"
창란결 09회.,"['창란결 07회.', '창란결 02회.', '애플비 랄랄라 한글동요 01회', '창란결 4회', '창란결 05회.', '창란결 04회.', '창란결 03회.', '창란결 06회.', '창란결 15회', '파로호']"
창란결 10회.,"['창란결 14회.', '창란결 11회.', '창란결 13회.', '창란결 08회.', '창란결 13회', '창란결 12회', '창란결 05회.', '창란결 18회.', '창란결 18회']"
창란결 11회.,"['창란결 10회', '창란결 10회.', '창란결 13회', '창란결 13회.', '창란결 08회.', '창란결 05회.', '창란결 12회.', '창란결 18회.', '창란결 18회', '유체이탈자']"
창란결 12회.,"['창란결 11회.', '창란결 13회.', '시크릿가든 19회', '딸의 남친과 불타는 하룻밤', '너의 이름은', '뱀파이어소녀 달자 01회', '뱀파이어소녀 달자 1회', '청락 13회', '암련, 귤생회남 9회', '암련, 귤생회남 09회.']"
창란결 13회.,"['창란결 08회.', '창란결 14회.', '창란결 14회', '창란결 13회', '창란결 10회.', '창란결 10회', '창란결 11회.', '창란결 12회', '창란결 9회', '창란결 17회.']"
창란결 14회.,"['창란결 13회.', '창란결 10회.', '창란결 10회', '창란결 12회', '창란결 14회', '창란결 9회', '창란결 11회.', '창란결 15회.', '학려화정 48회', '학려화정 48회.']"
창란결 15회.,"['사슴의 왕', '연성결 02회', '창란결 14회', '창란결 12회', '2억9천 : 결혼전쟁 03회', '청설루 35회', '창란결 9회', '창란결 14회.', '연인 파트1 04회', '연인 파트1 4회']"
창란결 16회.,"['창란결 16회', '학려화정 57회', '학려화정 57회.', '창란결 17회.', '유리미인살  11회', '유리미인살  11회.', '호심 08회', 'TV소설 은희 080회', 'TV소설 은희 80회', 'TV소설 은희 108회']"
창란결 17회.,"['창란결 13회.', '창란결 18회', '창란결 18회.', '창란결 04회.', '창란결 13회', '창란결 08회.', '달콤한 나의 도시 16회', '엘리가간다 시즌4 22회', '천원짜리 변호사 11회', '창란결 05회.']"
창란결 18회.,"['창란결 13회', '창란결 08회.', '창란결 05회.', '창란결 15회', '창란결 14회', '창란결 02회.', '창란결 17회.', '창란결 10회', '창란결 10회.']"
천고결진 01회.,"['천고결진 10회.', '천고결진 10회', '천고결진 5회', '천고결진 05회.', '심야괴담회 55회', '천고결진 45회', '천고결진 45회.', '천고결진 8회', '천고결진 08회.']"
천고결진 02회.,"['천고결진 10회', '천고결진 10회.', '천고결진 04회.', '천고결진 4회', '천고결진 16회', '천고결진 16회.', '천고결진 49회', '천고결진 49회.', '천고결진 12회.']"
천고결진 03회.,"['천고결진 15회.', '천고결진 15회', '천고결진 4회', '천고결진 04회.', '천고결진 9회', '천고결진 09회.', '천고결진 10회.', '천고결진 10회', '천고결진 11회', '천고결진 11회.']"
천고결진 04회.,"['천고결진 15회', '천고결진 15회.', '천고결진 13회', '천고결진 13회.', '천고결진 02회.', '천고결진 2회', '천고결진 03회.', '천고결진 09회.', '천고결진 9회']"
천고결진 05회.,"['천고결진 5회', '한 번 다녀왔습니다 34회', '천고결진 14회.', '천고결진 14회', '뷰티 인사이드 1회', '천고결진 43회', '천고결진 43회.', '천고결진 1회', '천고결진 01회.', '5등분의 신부 12회']"
천고결진 06회.,"['유리미인살  28회', '유리미인살  28회.', '아취시저반여자: 그런 여자 또 없습니다 13회', '극장판 요괴워치: 포에버 프렌즈', '속풀이쇼 동치미 561회', '속풀이쇼 동치미 513회', '언령장 10회', '잭 프로스트 4회', '심야식당 3 10회', '천고결진 40회.']"
천고결진 07회.,"['천고결진 7회', '천고결진 16회.', '천고결진 16회', '마법버스 타요 10회', '천고결진 10회', '천고결진 10회.', '경경아심 : 두근두근 내 마음을 들어봐 09회.', '경경아심 : 두근두근 내 마음을 들어봐 09회', '도로로', '천고결진 20회.']"
천고결진 08회.,"['천고결진 49회.', '천고결진 49회', '천고결진 10회.', '천고결진 10회', '천고결진 45회.', '천고결진 45회', '천고결진 11회.', '천고결진 11회', '천고결진 01회.']"
천고결진 09회.,"['천고결진 13회.', '천고결진 13회', '천고결진 04회.', '천고결진 4회', '천고결진 03회.', '천고결진 49회.', '천고결진 49회', '천고결진 45회', '천고결진 45회.']"
천고결진 10회.,"['천고결진 2회', '천고결진 02회.', '천고결진 8회', '천고결진 08회.', '천고결진 45회.', '천고결진 45회', '천고결진 49회.', '천고결진 49회', '천고결진 11회']"
천고결진 11회.,"['천고결진 10회', '천고결진 10회.', '천고결진 08회.', '천고결진 8회', '천고결진 03회.', '천고결진 15회.', '천고결진 15회', '천고결진 45회.', '천고결진 45회']"
천고결진 12회.,"['천고결진 12회', '천고결진 15회.', '천고결진 15회', '천고결진 10회.', '천고결진 10회', '천고결진 4회', '천고결진 04회.', '도깨비 2회', '천고결진 02회.', '천고결진 2회']"
천고결진 13회.,"['천고결진 4회', '천고결진 04회.', '천고결진 15회.', '천고결진 15회', '천고결진 45회', '천고결진 45회.', '천고결진 09회.', '천고결진 9회', '천고결진 14회.']"
천고결진 14회.,"['천고결진 46회', '천고결진 46회.', '천고결진 13회.', '천고결진 13회', '유리미인살  25회', '천고결진 45회.', '천고결진 45회', '천고결진 5회', '천고결진 05회.']"
천고결진 15회.,"['천고결진 15회', '천고결진 03회.', '천고결진 04회.', '천고결진 4회', '천고결진 13회.', '천고결진 13회', '천고결진 12회', '천고결진 12회.', '천고결진 10회', '천고결진 10회.']"
천고결진 16회.,"['천고결진 16회', '천고결진 2회', '천고결진 02회.', '천고결진 07회.', '천고결진 7회', '천고결진 04회.', '천고결진 4회', '아이', '피의 저격수', '극장판 요괴워치: 포에버 프렌즈']"
천고결진 17회.,"['천고결진 29회', '천고결진 29회.', '천고결진 41회', '천고결진 41회.', '천고결진 18회.', '천고결진 18회', '천고결진 24회.', '천고결진 24회', '장난스런키스 일본판 2 16회']"
천고결진 18회.,"['천고결진 18회', '천고결진 20회.', '천고결진 20회', '천고결진 33회.', '천고결진 33회', '천고결진 38회.', '천고결진 38회', '천고결진 17회', '천고결진 17회.', '천고결진 40회.']"
천고결진 19회.,"['천고결진 23회.', '천고결진 23회', '천고결진 26회.', '천고결진 26회', '천고결진 31회.', '천고결진 31회', '태양은 움직이지 않는다', '제로스 앤 원스', '천고결진 24회']"
천고결진 20회.,"['천고결진 20회', '천고결진 18회.', '천고결진 18회', '천고결진 34회', '천고결진 34회.', '천고결진 21회', '천고결진 21회.', '천고결진 25회', '천고결진 25회.', '천고결진 27회.']"
천고결진 21회.,"['천고결진 20회', '천고결진 20회.', '천고결진 29회.', '천고결진 29회', '천고결진 34회', '천고결진 34회.', '메모리아', '천고결진 24회', '천고결진 24회.']"
천고결진 22회.,"['천고결진 34회.', '천고결진 34회', '천고결진 31회', '천고결진 31회.', '천고결진 24회.', '천고결진 24회', '천고결진 30회.', '천고결진 30회', '천고결진 23회.']"
천고결진 23회.,"['천고결진 23회', '천고결진 24회', '천고결진 24회.', '천고결진 25회', '천고결진 25회.', '천고결진 27회.', '천고결진 27회', '천고결진 19회', '천고결진 19회.', '천고결진 29회.']"
천고결진 24회.,"['천고결진 25회.', '천고결진 25회', '천고결진 23회', '천고결진 23회.', '천고결진 28회', '천고결진 28회.', '천고결진 34회.', '천고결진 34회', '천고결진 29회']"
천고결진 25회.,"['천고결진 25회', '천고결진 24회', '천고결진 24회.', '천고결진 23회', '천고결진 23회.', '천고결진 27회.', '천고결진 27회', '천고결진 29회', '천고결진 29회.', '천고결진 34회.']"
천고결진 26회.,"['천고결진 29회', '천고결진 29회.', '천고결진 27회', '천고결진 27회.', '천고결진 19회.', '천고결진 19회', '천고결진 23회.', '천고결진 23회', '천고결진 31회']"
천고결진 27회.,"['천고결진 27회', '천고결진 26회', '천고결진 26회.', '천고결진 25회.', '천고결진 25회', '천고결진 23회', '천고결진 23회.', '천고결진 29회', '천고결진 29회.', '낭만닥터 김사부3 13회']"
천고결진 28회.,"['천고결진 24회.', '천고결진 24회', '천고결진 29회', '천고결진 29회.', '천고결진 34회', '천고결진 34회.', '천고결진 21회.', '천고결진 21회', '천고결진 25회']"
천고결진 29회.,"['천고결진 29회', '천고결진 28회.', '천고결진 28회', '천고결진 26회', '천고결진 26회.', '천고결진 24회', '천고결진 24회.', '천고결진 25회', '천고결진 25회.', '천고결진 23회.']"
천고결진 30회.,"['천고결진 41회', '천고결진 41회.', '천고결진 24회.', '천고결진 24회', '천고결진 34회', '천고결진 34회.', '천고결진 29회.', '천고결진 29회', '천고결진 33회.']"
천고결진 31회.,"['천고결진 19회.', '천고결진 19회', '천고결진 26회', '천고결진 26회.', '인수대비 56회', 'TV소설 은희 118회', '천고결진 22회', '천고결진 22회.', '천고결진 28회']"
천고결진 32회.,"['천고결진 35회.', '천고결진 35회', '천고결진 23회.', '천고결진 23회', '천고결진 47회', '천고결진 47회.', '천고결진 26회', '천고결진 26회.', '천고결진 19회.']"
천고결진 33회.,"['천고결진 33회', '백앤아 남매튜브 2 08회', '천고결진 18회', '천고결진 18회.', '천고결진 30회.', '천고결진 30회', '천고결진 23회', '천고결진 23회.', '천고결진 29회', '천고결진 29회.']"
천고결진 34회.,"['천고결진 47회.', '천고결진 47회', '천고결진 24회.', '천고결진 24회', '천고결진 28회.', '천고결진 28회', '천고결진 30회.', '천고결진 30회', '천고결진 35회.']"
천고결진 35회.,"['천고결진 35회', '천고결진 32회', '천고결진 32회.', '천고결진 47회', '천고결진 47회.', '천고결진 34회.', '천고결진 34회', '청설루 01회', '천고결진 28회', '천고결진 28회.']"
천고결진 38회.,"['천고결진 18회', '천고결진 18회.', '천고결진 20회', '천고결진 20회.', '천고결진 15회.', '천고결진 15회', '천고결진 40회.', '천고결진 40회', '천고결진 28회']"
천고결진 40회.,"['천고결진 40회', '천고결진 45회.', '천고결진 45회', '천고결진 15회', '천고결진 15회.', '천고결진 18회.', '천고결진 18회', '천고결진 38회', '천고결진 38회.', '천고결진 46회.']"
천고결진 41회.,"['천고결진 30회', '천고결진 30회.', '천고결진 24회.', '천고결진 24회', '천고결진 17회.', '천고결진 17회', '천고결진 48회.', '천고결진 48회', '천고결진 29회.']"
천고결진 42회.,"['루카 : 더 비기닝 12회', '진짜가 나타났다! 02회', '빅트립2: 아기곰 배달 대작전', '천고결진 13회', '천고결진 13회.', '천고결진 23회.', '천고결진 23회', '굳세어라 금순아 163회', '브로커']"
천고결진 43회.,"['천고결진 49회', '천고결진 49회.', '천고결진 48회', '천고결진 48회.', '천고결진 04회.', '천고결진 4회', '천고결진 46회.', '천고결진 46회', '소맥거핀 일상만화 1회']"
천고결진 44회.,"['천고결진 44회', '천고결진 29회', '천고결진 29회.', '천고결진 41회', '천고결진 41회.', '천고결진 17회', '천고결진 17회.', '학려화정 50회.', '학려화정 50회', '천고결진 19회']"
천고결진 45회.,"['천고결진 49회.', '천고결진 49회', '천고결진 40회.', '천고결진 40회', '천고결진 13회', '천고결진 13회.', '천고결진 10회.', '천고결진 10회', '천고결진 8회']"
천고결진 46회.,"['천고결진 46회', '천고결진 14회', '천고결진 14회.', '천고결진 45회', '천고결진 45회.', '천고결진 43회.', '천고결진 43회', '천고결진 23회', '천고결진 23회.', '천고결진 40회']"
천고결진 47회.,"['천고결진 35회.', '천고결진 35회', '천고결진 34회', '천고결진 34회.', '천고결진 32회', '천고결진 32회.', '비밀의 여자 102회', '량세환: 두 개의 인연 36회', '천고결진 41회']"
천고결진 48회.,"['천고결진 48회', '데이트 어 라이브 3기 12회', '잭 프로스트 6회', '천고결진 43회', '천고결진 43회.', '천고결진 41회.', '천고결진 41회', '천고결진 15회.', '천고결진 15회', '시사직격 167회']"
천고결진 49회.,"['천고결진 45회.', '천고결진 45회', '천고결진 8회', '천고결진 08회.', '천고결진 09회.', '천고결진 9회', '천고결진 43회.', '천고결진 43회', '천고결진 10회']"
칼의전쟁,"['인수대비 34회', '99억의 여자 16회', '동백꽃 필 무렵 20회', '황금정원 30회', '천일야사 262회', '금의지하 01회.', '금의지하 1회', '킹메이커', '인어전설 2: 용의 부활', '대무가']"
호심 01회.,"['호심 1회', '호심 01회', '호심 3회', '호심 03회.', '호심 03회', '호심 16회', '호심 16회.', '호심 17회', '호심 17회.', '호심 02회']"
호심 02회.,"['호심 2회', '호심 03회.', '호심 3회', '호심 03회', '호심 17회.', '호심 17회', '호심 09회', '호심 15회.', '호심 15회']"
호심 03회.,"['호심 3회', '호심 03회', '호심 2회', '호심 02회', '호심 02회.', '호심 09회', '호심 07회', '호심 08회', '호심 34회', '호심 34회.']"
호심 04회.,"['호심 04회', '호심 17회.', '호심 17회', '호심 33회.', '호심 33회', '호심 01회', '호심 1회', '호심 01회.', '호심 18회.']"
호심 10회.,"['호심 10회', '호심 30회.', '호심 30회', '어느 여대생의 고백', '오디션', '명불허전 03회', '무자식 상팔자', '호심 1회', '호심 01회', '호심 01회.']"
호심 11회.,"['호심 11회', '하나뿐인 내편 48회', '호심 30회.', '호심 30회', '호심 17회.', '호심 17회', '무자식 상팔자', '호심 06회', '호심 37회', '호심 37회.']"
호심 12회.,"['호심 17회.', '호심 17회', '호심 38회', '호심 02회', '호심 02회.', '호심 2회', '호심 40회', '호심 29회', '호심 27회']"
호심 13회.,"['호심 13회', '호심 12회.', '호심 12회', '호심 03회.', '호심 3회', '호심 03회', '호심 15회', '호심 15회.', '호심 04회.', '호심 4회']"
호심 14회.,"['호심 15회', '호심 15회.', '호심 33회.', '호심 33회', '호심 16회.', '호심 16회', '호심 27회', '호심 08회', '미션 파서블']"
호심 15회.,"['호심 15회', '호심 02회.', '호심 2회', '호심 02회', '호심 17회.', '호심 17회', '호심 14회.', '호심 14회', '호심 01회', '호심 1회']"
호심 16회.,"['호심 16회', '호심 03회', '호심 3회', '호심 03회.', '호심 17회.', '호심 17회', '호심 06회', '호심 1회', '호심 01회.', '호심 01회']"
호심 17회.,"['호심 02회', '호심 02회.', '호심 2회', '호심 35회.', '호심 35회', '호심 03회', '호심 03회.', '호심 3회', '호심 12회.']"
호심 18회.,"['호심 18회', '호심 25회', '호심 25회.', '호심 37회', '호심 37회.', '이스케이프: 더블 타겟', '호심 33회.', '호심 33회', '호심 27회', '호심 04회']"
호심 19회.,"['호심 19회', '호심 33회.', '호심 33회', '호심 27회', '호심 28회', '과학수사대 스모킹 건 03회', '호심 12회.', '호심 12회', 'TV소설 은희 098회', 'TV소설 은희 98회']"
호심 20회.,"['호심 17회.', '호심 17회', '호심 02회', '호심 2회', '호심 02회.', '호심 06회', '호심 18회.', '호심 18회', '호심 09회']"
호심 21회.,"['파워레인저 닌자포스VS트레인포스', '호심 09회', '호심 3회', '호심 03회', '호심 03회.', '호심 17회', '호심 17회.', '마지막승부 1회', '호심 07회']"
호심 25회.,"['호심 25회', '호심 18회.', '호심 18회', '호심 12회.', '호심 12회', '교약운간월 05회', '이스케이프: 더블 타겟', '스텔라', '소년강호 22회', '어쩌다 마주친, 그대 13회']"
호심 30회.,"['호심 11회', '호심 11회.', '호심 38회', '호심 37회', '호심 37회.', '호심 17회.', '호심 17회', '무자식 상팔자', '호심 02회']"
호심 31회.,"['호심 17회', '호심 17회.', '호심 40회', '호심 33회.', '호심 33회', '호심 04회.', '호심 4회', '호심 04회', '호심 27회']"
호심 32회.,"['호심 32회', '호심 38회', '호심 35회', '호심 35회.', '호심 27회', '호심 17회', '호심 17회.', '호심 16회', '호심 16회.', '호심 40회']"
호심 33회.,"['호심 27회', '호심 18회', '호심 18회.', '호심 08회', '호심 40회', '호심 19회.', '호심 19회', '호심 04회.', '호심 04회']"
호심 34회.,"['호심 3회', '호심 03회.', '호심 03회', '호심 07회', '호심 02회.', '호심 02회', '호심 2회', '호심 17회', '호심 17회.']"
호심 35회.,"['호심 35회', '호심 17회', '호심 17회.', '호심 27회', '호심 32회', '호심 32회.', '호심 39회.', '호심 39회', '호심 12회', '호심 12회.']"
호심 36회.,"['호심 03회', '호심 3회', '호심 03회.', '호심 27회', '호심 09회', '호심 01회', '호심 01회.', '호심 1회', '호심 39회']"
호심 37회.,"['호심 18회', '호심 18회.', '호심 30회', '호심 30회.', '호심 29회', '호심 11회.', '호심 11회', '황금정원 30회', '동백꽃 필 무렵 20회']"
호심 39회.,"['호심 27회', '호심 40회', '호심 35회', '호심 35회.', '달의 요정 세일러 문 R 37회', '호심 36회', '호심 36회.', '칠검: 천하영웅', '호심 28회']"
화여장 꽃들의 전쟁,"['사랑의 불시착 15회', '아적자위여해2 : 나의 고슴도치 그녀2 08회', '대명금의위 2: 척살무사', '블라인드', '원티드', '미운우리새끼 357회', '오자룡이 간다 123회', '어느 가족', '야성부 1회', '블리치 극장판2-다이아몬드더스트반란']"
화호월우원 01회.,"['화호월우원 30회', '이번 주 아내가 바람을 핍니다 1회', '이번 주 아내가 바람을 핍니다 01회', '미자무강 05회', '천고결진 25회.', '천고결진 25회', '소녀대인 23회', '소녀대인 23회.', '환희의 찬가2 in 상하이 31회']"
휴상행자본왕소저 : 여왕 암살은 어림없다 04회.,"['금이야 옥이야 031회', '금이야 옥이야 31회', '기황후 51회', '그래도당신 124회', '벌거벗은 한국사 71회', '학려화정 외전: 별운간 01회.', '학려화정 외전: 별운간 1회', '적인걸: 태자 납치사건', '수가적성진 24회']"
가려진 시간,"['닌자에게 결혼은 어렵다 11회', '각설탕', '깨비키즈 백투더공룡 03회', '사랑의 불시착 16회', '모범택시 16회', '인어공주 이야기', '영희', '인간극장 3304회', '러브 팬텀 12회', '세이예스']"
스파이,"['가문의영광4-가문의수난', '전지적 참견 시점 216회', '백앤아 남매튜브 2 08회', '런닝맨 638회', '슈뻘맨TV 01회', '슈뻘맨TV 1회', '시도니아의 기사 제9행성전쟁 12회', '맨몸의 소방관 4회', '오은영 리포트 결혼 지옥 17회', '심야괴담회 70회']"
핑크퐁 상어가족과 노래해요 3 01회,"['짱구는못말려 11기 26회', '짱구는 못말려 21기 25회', '어이 미남!! 2회', '은밀한 비밀', '하드코어 로맨스', '강한칼-도도견혈', '우연과 상상', '원스 어폰 어 타임...인 할리우드', '효자']"
공수도,"['이웃집 찰스 353회', '청춘인가요 시즌2 1회', '귀신 신나라: 전설의 고향', '벼랑위의 포뇨', '팬 암 1', '은하철도의 밤', '뭐라도 남기리 4회', '뭐라도 남기리 3회', '뭐라도 남기리 04회', '뭐라도 남기리 1회']"
미스터 주: 사라진 VIP,"['핑크퐁 동물 동요 20회', 'TV동물농장 1129회', 'TV동물농장 1130회', '시체가 돌아왔다', '특송', '도쿄 구울', '스텔라', '뱅가드', '화요일은 밤이 좋아 50회', '눈에는눈이에는이']"
절색특공: 데드 스콜피온,"['날 녹여주오 1회', '아수라신부', '활: 추격자 스부', '사랑의 불시착 12회', '요묘전: 레전드 오브 더 데몬 캣', '말모이', '수어사이드 스쿼드', '아파치 정션: 무법자의 지대', '공조', '특집극 절정 2회']"
