asset_nm,similar_assets
미운우리새끼 307회,"['미운우리새끼 361회', '미운우리새끼 350회', '속풀이쇼 동치미 564회', '성룡의 아시수', '런닝맨 669회', '미운우리새끼 351회', '미운우리새끼 306회', '미운우리새끼 347회', '그것이알고싶다 1355회', '돌멩이']"
범죄도시3,"['특수부대 풍운', '적인걸: 태자 납치사건', '집으로가는길', '구소한야난 - 너의 온도 6회', '구소한야난 - 너의 온도 06회', '구소한야난 - 너의 온도 06회.', '1박2일 시즌4 189회', '경관의피', '님은먼곳에', '크리미널마인드 1회']"
초대: 스와핑 데이,"['아버지와 이토씨', '벽 속에 숨은 마법시계', '황금화 : 엄마의 일기', '의처소동', '꼬리에 꼬리를 무는 그날 이야기 2 21회', '어느 가족', '나는자연인이다 571회', '용의자X', '오은영 리포트 결혼 지옥 51회', '내 남자']"
태어난 김에 세계일주2 04회,"['태어난 김에 세계일주2 10회', '태어난 김에 세계일주2 05회', '태어난 김에 세계일주2 5회', '라바 인 뉴욕 29회', '벌거벗은 세계사 115회', '태어난 김에 세계일주2 9회', '태어난 김에 세계일주2 09회', '송골매 콘서트 40년만의 비행 1회', '명불허전 4회']"
후궁-제왕의첩,"['인질', '원초적본능', '도로로', '남자가 사랑할 때', '언노운 솔저', '킹스스피치', '천고결진 48회', '천고결진 48회.', '달링', '다섯 여자와의 사랑과 돈 그리고 섹스']"
해피엔드,"['꽃보다남자 51회', '속풀이쇼 동치미 537회', '동상이몽 2-너는 내 운명 1회', '어둠의자식들', '오은영 리포트 결혼 지옥 16회', '속풀이쇼 동치미 566회', '응답하라 1988 16회', '절배수심당 : 사랑의 맛 08회', '세기말', '응답하라 1988 12회']"
러브 포 세일,"['야동 보기 좋은날', '달콤한 나의 도시 16회', '피기', '스쿠프!', '서바이벌 패밀리', '그 아이는 귀족', '미스터 로또 08회', '무마시킨 겨울 우리집 문제는 없었던 일로 10회', '별처럼 빛나는 너에게 22회', '김창옥 쇼 2회']"
상류사회,"['이슈 픽 쌤과 함께 140회', '스트레이트 221회', '그빨로', '이슈 픽 쌤과 함께 147회', '이슈 픽 쌤과 함께 145회', '그대 이름은 장미', '황금 가면 54회', '원초적 본능2', '황금 가면 100회', '인사이더 16회']"
귀신이산다,"['원픽은, 흔한남매 13회', '하우스 오브 구찌', '금이야 옥이야 30회', '금이야 옥이야 030회', '인시디어스: 빨간 문', '가문의영광5-가문의귀환', 'TV소설 은희 110회', '레드', '인간극장 3100회', '응답하라 1988 5회']"
보안관,"['불타는 장미단 20회', '재하리우 19회', '걸캅스', '소방서 옆 경찰서 10회', '미스푸줏간', '보이스', '유리미인살  16회', '유리미인살  16회.', '갈증', '공필두']"
이장과 군수,"['가베:그녀의숲', '도로시게임 델타룬 15회', '당신의이웃은친절하지않다', '용주전기 무간도 22회.', '용주전기 무간도 22회', '나이트사이렌', '웰컴 투 동막골', '와글와글 꼬꼬맘 52회', '장미꽃 필 무렵 14회', '전 남친의 유언장 9회']"
겨울부인,"['미들 오브 노웨어', '하룻밤', '님은먼곳에', '소노자키 에리 35살입니다', '숙부님의 몸종이 되어버린 아내', '100피트', '소년탐정 김전일 R 25회', '플레이 데드', '속풀이쇼 동치미 566회', '그 여자의 죄가 아니다']"
가면의 여왕 16회,"['신성한 이혼 02회', '가면의 여왕 04회', '가면의 여왕 05회', '갯마을 차차차 16회', '가면의 여왕 06회', '요코하마 갱스터', '유리미인살  02회.', '싸이코패스 다이어리 16회', '좀비탐정 12회', '포켓몬스터 썬 앤 문 3 36회']"
가면의 여왕 02회,"['가면의 여왕 06회', '노랑머리', '클로즈', '육덕진 엉덩이로 찰진 방아찧기', '오빠는 끝! 12회', '쇼펭, 같이 놀자', '골 때리는 그녀들 55회', '밀수', '그레이 플레이스']"
가면의 여왕 03회,"['넷플릭스 VS. 월드', '박원숙의 같이 삽시다 시즌3 129회', '꿀잼 퀴즈방 2회', '시크릿 부티크 16회', '돌싱글즈4 7회', '벌거벗은 세계사 114회', '낭만닥터 김사부3 10회', '미스터 로또 3회', '하늘의 인연 84회', '홍김동전 24회']"
가면의 여왕 04회,"['사랑의 불시착 09회', '사랑의 불시착 9회', '가면의 여왕 16회', '가면의 여왕 05회', '가면의 여왕 06회', '더 그레이트 샤크', '소방서 옆 경찰서 03회', '소방서 옆 경찰서 3회', '암련, 귤생회남 16회', '암련, 귤생회남 16회.']"
가면의 여왕 05회,"['가면의 여왕 06회', '가면의 여왕 16회', '가면의 여왕 04회', '왔다 장보리 41회', '트랜스포머: 비스트의 서막', '무법변호사 6회', '소방서 옆 경찰서 그리고 국과수 10회', '미션 파서블', '슈퍼배드3', '금이야 옥이야 105회']"
가면의 여왕 06회,"['가면의 여왕 05회', '가면의 여왕 16회', '가면의 여왕 04회', '가면의 여왕 2회', '가면의 여왕 02회', '노랑머리', '악인전', '단순한 열정', '태조왕건 1회', '스토브리그 파이널 리포트 1회']"
법쩐 01회,"['법쩐 12회', '취권: 전설의 시작', '기적', '닌자고 드래곤 헌터 10회', '천원짜리 변호사 01회', '천원짜리 변호사 1회', '파워레인저 닌자포스 47회', '매트릭스', '강철부대 1회']"
법쩐 12회,"['법쩐 1회', '법쩐 01회', '황금정원 30회', '99억의 여자 16회', '동백꽃 필 무렵 20회', '원킬', '절배수심당 : 사랑의 맛 04회', '인질', '닥터 스트레인지', '마크맨']"
비밀의 집 124회,"['넷플릭스 VS. 월드', '박원숙의 같이 삽시다 시즌3 129회', '꿀잼 퀴즈방 2회', '시크릿 부티크 16회', '돌싱글즈4 7회', '벌거벗은 세계사 114회', '낭만닥터 김사부3 10회', '미스터 로또 3회', '하늘의 인연 84회', '홍김동전 24회']"
사랑의 이해 01회,"['사랑의 이해 1회', '사랑의 이해 02회', '아테나:전쟁의여신 21회', '동물극장 단짝 78회', '4월이야기', '뱀파이어소녀 달자 12회', '금이야 옥이야 27회', '금이야 옥이야 027회', '퍼스트러브', '이과생추입정망 02회']"
사랑의 이해 02회,"['금이야 옥이야 027회', '금이야 옥이야 27회', '친절한 가정부', '사랑의 이해 1회', '사랑의 이해 01회', '금이야 옥이야 010회', '금이야 옥이야 10회', '전지적 참견 시점 215회', '금이야 옥이야 9회', '금이야 옥이야 009회']"
런닝맨 662회,"['홍김동전 47회', '런닝맨 669회', '거래완료', '분노', '엘리가간다 시즌7 02회', '엘리가간다 시즌4 2회', '엘리가간다 시즌4 02회', '런닝맨 629회', '스토브리그 04회', '스토브리그 4회']"
런닝맨 663회,"['검객', '음란서생', '꽃 피면 달 생각하고 스페셜 1회', '군도-민란의 시대', '광복절 조선총독부 최후의 25일 1회', '연희공략: 건륭황제의여인 19회.', '싸이코패스 다이어리 16회', '야야상견불식군 : 나의 스파이 신부 01회.', '벌거벗은 한국사 20회', 'YMCA야구단']"
런닝맨 664회,"['니돈내산 독박투어 7회', '레드벨벳 레벨업 프로젝트 10회', '뭉쳐야 뜬다 91회', '런닝맨 623회', '런닝맨 652회', '건축탐구-집 212회', '카오산 탱고', '런닝맨 657회', '삼시세끼 바다목장편 10회', '뉴진스코드 in 부산 3회']"
런닝맨 665회,"['런닝맨 667회', '런닝맨 666회', '런닝맨 668회', '런닝맨 635회', '완벽한 하루 1회', '미운우리새끼 355회', '런닝맨 636회', '꼬마마법사레미포르테:개구리바위의비밀', '킹더랜드 14회', '불타는 장미단 15회']"
런닝맨 666회,"['런닝맨 667회', '런닝맨 665회', 'TV동물농장 1078회', '99억의 여자 16회', '황금정원 30회', '동백꽃 필 무렵 20회', '런닝맨 668회', '뭉뜬리턴즈 19회', '런닝맨 635회', '런닝맨 618회']"
런닝맨 667회,"['런닝맨 665회', '런닝맨 666회', '런닝맨 668회', '런닝맨 622회', '하트시그널4 13회', '싸이코패스 다이어리 16회', '트롯 전국체전 11회', '트롯 전국체전 10회', '꼬마마법사레미포르테:개구리바위의비밀', '런닝맨 635회']"
런닝맨 668회,"['런닝맨 667회', '런닝맨 665회', '런닝맨 666회', '런닝맨 635회', '총몇명TV 10회', '심야괴담회 75회', '동물극장 단짝 74회', '런닝맨 641회', '짱구는못말려 10기 12회', '꼬리에꼬리를무는그날이야기 70회']"
런닝맨 669회,"['런닝맨 670회', '조선명탐정: 흡혈괴마의 비밀', '우국의 모리아티 11회', '런닝맨 662회', '궁금한이야기Y 648회', '구소한야난 - 너의 온도 06회.', '구소한야난 - 너의 온도 6회', '구소한야난 - 너의 온도 06회', '미운우리새끼 307회', '22년 후의 고백']"
런닝맨 670회,"['런닝맨 669회', '도로시게임 플래시2 01회', '도로시게임 플래시2 1회', '신서유기 시즌6 5회', '조선명탐정: 흡혈괴마의 비밀', '엘리가간다 시즌7 02회', '엘리가간다 시즌4 02회', '엘리가간다 시즌4 2회', '베이비버스 인기동요 시즌4 02회', '심야괴담회 62회']"
메가샤크,"['스트릿 우먼 파이터 2 05회', '스트릿 우먼 파이터 2 5회', '헬크 1회', '헬크 01회', '그대가 조국', '메가로돈: 거대 상어의 습격', '써밋 피버', '특집 슈가맨, 양준일 91.19 2회', '불타는 장미단 16회', '극장판 리틀 슈퍼맨 샘샘']"
인피니트 스톰,"['인간극장 3150회', '각시탈 03회', '런닝맨 635회', '킹더랜드 6회', '킹더랜드 06회', '쾌락의 법칙', '어둠의자식들', '탐정: 리턴즈', '란이TV 시즌2 26회', '전문중적진천천 02회.']"
트랜스포머: 비스트의 서막,"['잭 스나이더의 저스티스 리그', '드래곤볼Z KAI 1기 54회', '사이틴 시즌1 52회', '가면의 여왕 05회', '저스티스 리그', '신비한TV서프라이즈 1080회', '나는 공룡이 될 거야', '경이로운 소문 8회', '경이로운 소문 08회', '이터널스']"
롱 플레이스,"['견자단의 용호무사', '나쁜 수업', '루팡의 딸 극장판', '패딩턴', '어요지: 물속의괴물', '애스 백워즈', '애로부부 특별판 1회', '어느 목사', '짱구는 못말려 23기 03회', '짱구는 못말려 23기 3회']"
메가로돈 2,"['메가로돈', '4500미터', '어벤져스: 엔드 게임', '긴급구원더레스큐', '꼬리에꼬리를무는그날이야기 57회', '활: 추격자 스부', '메가로돈: 거대 상어의 습격', '아주 긴 변명', '65', '전설의 검']"
스파이 코드명 포춘,"['시베리아', '백앤아 남매튜브 2 08회', '자몽TV 네버엔딩 시즌3', '슈퍼 키드 헤일리', '미니언즈2', '스파이', '틴에이지 크라켄 루비', '베놈', '호심 27회', '달의 요정 세일러 문 R 37회']"
에브리씽 에브리웨어 올 앳 원스,"['일본 침몰 -희망의 사람- 9회', '20회 고창 2부', '황금화 : 엄마의 일기', '남권: 영웅쟁패', '오은영 리포트 결혼 지옥 13회', '금이야 옥이야 083회', '금이야 옥이야 036회', '금이야 옥이야 36회', '형따라 마야로 : 아홉 개의 열쇠 2회', '오은영 리포트 결혼 지옥 17회']"
옹정황제의 여인 71회.,"['옹정황제의 여인 33회', '학려화정 39회.', '학려화정 39회', '옹정황제의 여인 76회.', '옹정황제의 여인 38회', '옹정황제의 여인 75회.', '옹정황제의 여인 37회', '학려화정 51회.', '학려화정 51회', '돌아온 판관 포청천 - 타룡포']"
옹정황제의 여인 72회.,"['연희공략: 건륭황제의여인 54회.', '연희공략: 건륭황제의여인 54회', '연희공략: 건륭황제의여인 40회', '연희공략: 건륭황제의여인 40회.', '연희공략: 건륭황제의여인 50회.', '연희공략: 건륭황제의여인 38회', '연희공략: 건륭황제의여인 38회.', '연희공략: 건륭황제의여인 17회.', '연희공략: 건륭황제의여인 09회.', '연희공략: 건륭황제의여인 9회']"
옹정황제의 여인 73회.,"['옹정황제의 여인 74회.', '옹정황제의 여인 36회', '옹정황제의 여인 75회.', '옹정황제의 여인 37회', '대당여아행 55회', '학려화정 56회', '학려화정 56회.', '학려화정 39회', '학려화정 39회.', '학려화정 58회']"
