subsr,top_genres
65704000,['코미디']
65718000,['코미디']
65724000,['키즈']
65726000,['예능']
65743000,['키즈']
65755000,['드라마']
65788000,['코미디']
65795000,['액션/어드벤쳐']
65819000,['교양/다큐멘터리']
65830000,['키즈']
65838000,['드라마']
65846000,['키즈']
65861000,['TV드라마']
65872000,['키즈']
65876000,['멜로']
65879000,['멜로']
65931000,['액션/어드벤쳐']
65934000,['애니메이션']
65941000,['교양/다큐멘터리']
65954000,['TV드라마']
65961000,['드라마']
65999000,['멜로']
66005000,['SF/환타지']
66006000,['액션/어드벤쳐']
66036000,['멜로']
66040000,['키즈']
66041000,['액션/어드벤쳐']
66056000,['TV드라마']
66059000,['교양/다큐멘터리']
66065000,['예능']
66083000,['키즈']
66102000,['예능']
66110000,['예능']
66113000,['애니메이션']
66118000,['드라마']
66159000,['예능']
66163000,['교양/다큐멘터리']
66170000,['드라마']
66176000,['멜로']
66186000,['교양/다큐멘터리']
66189000,['TV드라마']
66224000,['키즈']
66233000,['액션/어드벤쳐']
66254000,['드라마']
66273000,['예능']
66283000,['애니메이션']
66286000,['멜로']
66295000,['애니메이션']
66303000,['애니메이션']
66307000,['교양/다큐멘터리']
66309000,['예능']
66311000,['애니메이션']
66317000,['키즈']
66321000,['예능']
66337000,['멜로']
66348000,['액션/어드벤쳐']
66353000,['교양/다큐멘터리']
66354000,['코미디']
66362000,['멜로']
66363000,['TV드라마']
66387000,['코미디']
66402000,['예능']
66420000,['애니메이션']
66424000,['예능']
66430000,['액션/어드벤쳐']
66437000,['드라마']
66440000,['예능']
66444000,['애니메이션']
66449000,['예능']
66463000,['예능']
66466000,['액션/어드벤쳐']
66476000,['액션/어드벤쳐']
66480000,['액션/어드벤쳐']
66486000,['액션/어드벤쳐']
66496000,['멜로']
66499000,['드라마']
66504000,['키즈']
66517000,['TV드라마']
66519000,['액션/어드벤쳐']
66526000,['키즈']
66529000,['공포/스릴러']
66530000,['멜로']
66540000,['키즈']
66545000,['액션/어드벤쳐']
66576000,['드라마']
66583000,['멜로']
66597000,['액션/어드벤쳐']
66611000,['액션/어드벤쳐']
66617000,['액션/어드벤쳐']
66619000,['키즈']
66620000,['예능']
66637000,['예능']
66656000,['TV드라마']
66658000,['멜로']
66660000,['애니메이션']
66667000,['액션/어드벤쳐']
66676000,['키즈']
66684000,['키즈']
66705000,['TV드라마']
66743000,['드라마']
66744000,['교양/다큐멘터리']
66792000,['예능']
66809000,['액션/어드벤쳐']
66819000,['키즈']
66821000,['액션/어드벤쳐']
66828000,['액션/어드벤쳐']
66835000,['TV드라마']
66838000,['액션/어드벤쳐']
66840000,['교양/다큐멘터리']
66841000,['키즈']
66845000,['애니메이션']
66864000,['교양/다큐멘터리']
66873000,['예능']
66874000,['TV드라마']
66875000,['TV드라마']
66885000,['교양/다큐멘터리']
66889000,['키즈']
66890000,['코미디']
66900000,['키즈']
66937000,['SF/환타지']
66941000,['예능']
66945000,['코미디']
66947000,['액션/어드벤쳐']
66985000,['키즈']
67000000,['키즈']
67008000,['키즈']
67010000,['드라마']
67024000,['드라마']
67033000,['드라마']
67034000,['멜로']
67053000,['멜로']
67055000,['TV드라마']
67070000,['교양/다큐멘터리']
67094000,['액션/어드벤쳐']
67096000,['액션/어드벤쳐']
67106000,['키즈']
67107000,['예능']
67117000,['TV드라마']
67122000,['액션/어드벤쳐']
67126000,['액션/어드벤쳐']
67129000,['애니메이션']
67130000,['멜로']
67140000,['예능']
67148000,['키즈']
67154000,['예능']
67161000,['액션/어드벤쳐']
67164000,['액션/어드벤쳐']
